File,Size,Height,Width,Serie,Year,Month,Day,Extra
FRF_c1_snap_20150221160000_EBG.jpg,"(2448, 2048)",2448,2048,20150221160000,2015,2,21,160000
FRF_c1_snap_20150226160000_EBG.jpg,"(2448, 2048)",2448,2048,20150226160000,2015,2,26,160000
FRF_c1_snap_20150228160000_EBG.jpg,"(2448, 2048)",2448,2048,20150228160000,2015,2,28,160000
FRF_c1_snap_20150322160000_EBG.jpg,"(2448, 2048)",2448,2048,20150322160000,2015,3,22,160000
FRF_c1_snap_20150503160000_EBG.jpg,"(2448, 2048)",2448,2048,20150503160000,2015,5,3,160000
FRF_c1_snap_20150505160000_EBG.jpg,"(2448, 2048)",2448,2048,20150505160000,2015,5,5,160000
FRF_c1_snap_20150507160000_EBG.jpg,"(2448, 2048)",2448,2048,20150507160000,2015,5,7,160000
FRF_c1_snap_20150508160000_EBG.jpg,"(2448, 2048)",2448,2048,20150508160000,2015,5,8,160000
FRF_c1_snap_20150509160000_EBG.jpg,"(2448, 2048)",2448,2048,20150509160000,2015,5,9,160000
FRF_c1_snap_20150510160000_EBG.jpg,"(2448, 2048)",2448,2048,20150510160000,2015,5,10,160000
FRF_c1_snap_20150511160000_EBG.jpg,"(2448, 2048)",2448,2048,20150511160000,2015,5,11,160000
FRF_c1_snap_20150512160000_EBG.jpg,"(2448, 2048)",2448,2048,20150512160000,2015,5,12,160000
FRF_c1_snap_20150520160000_EBG.jpg,"(2448, 2048)",2448,2048,20150520160000,2015,5,20,160000
FRF_c1_snap_20150524160000_EBG.jpg,"(2448, 2048)",2448,2048,20150524160000,2015,5,24,160000
FRF_c1_snap_20150525160000_EBG.jpg,"(2448, 2048)",2448,2048,20150525160000,2015,5,25,160000
FRF_c1_snap_20150710160000_EBG.jpg,"(2448, 2048)",2448,2048,20150710160000,2015,7,10,160000
FRF_c1_snap_20150801_EBG.jpg,"(1000, 837)",1000,837,20150801,2015,8,1,0
FRF_c1_snap_20150901_EBG.jpg,"(1000, 837)",1000,837,20150901,2015,9,1,0
FRF_c1_snap_20151001_EBG.jpg,"(1000, 837)",1000,837,20151001,2015,10,1,0
FRF_c1_snap_20151029160000_EBG.jpg,"(2448, 2048)",2448,2048,20151029160000,2015,10,29,160000
FRF_c1_snap_20151101_EBG.jpg,"(1000, 837)",1000,837,20151101,2015,11,1,0
FRF_c1_snap_20160101_EBG.jpg,"(1000, 837)",1000,837,20160101,2016,1,1,0
FRF_c1_snap_20160201_EBG.jpg,"(1000, 837)",1000,837,20160201,2016,2,1,0
FRF_c1_snap_20160215160000_EBG.jpg,"(2448, 2048)",2448,2048,20160215160000,2016,2,15,160000
FRF_c1_snap_20160217160000_EBG.jpg,"(2448, 2048)",2448,2048,20160217160000,2016,2,17,160000
FRF_c1_snap_20160301_EBG.jpg,"(1000, 837)",1000,837,20160301,2016,3,1,0
FRF_c1_snap_20160306160000_EBG.jpg,"(2448, 2048)",2448,2048,20160306160000,2016,3,6,160000
FRF_c1_snap_20160401_EBG.jpg,"(1000, 837)",1000,837,20160401,2016,4,1,0
FRF_c1_snap_20160412160000_EBG.jpg,"(2448, 2048)",2448,2048,20160412160000,2016,4,12,160000
FRF_c1_snap_20160501_EBG.jpg,"(1000, 837)",1000,837,20160501,2016,5,1,0
FRF_c1_snap_20160601_EBG.jpg,"(1000, 837)",1000,837,20160601,2016,6,1,0
FRF_c1_snap_20160615160000_EBG.jpg,"(2448, 2048)",2448,2048,20160615160000,2016,6,15,160000
FRF_c1_snap_20160624160000_EBG.jpg,"(2448, 2048)",2448,2048,20160624160000,2016,6,24,160000
FRF_c1_snap_20160701_EBG.jpg,"(1000, 837)",1000,837,20160701,2016,7,1,0
FRF_c1_snap_20160713160000_EBG.jpg,"(2448, 2048)",2448,2048,20160713160000,2016,7,13,160000
FRF_c1_snap_20160801_EBG.jpg,"(1000, 837)",1000,837,20160801,2016,8,1,0
FRF_c1_snap_20160901_EBG.jpg,"(1000, 837)",1000,837,20160901,2016,9,1,0
FRF_c1_snap_20161001_EBG.jpg,"(1000, 837)",1000,837,20161001,2016,10,1,0
FRF_c1_snap_20161101_EBG.jpg,"(1000, 837)",1000,837,20161101,2016,11,1,0
FRF_c1_snap_20161201_EBG.jpg,"(1000, 837)",1000,837,20161201,2016,12,1,0
FRF_c1_snap_20161213160000_EBG.jpg,"(2448, 2048)",2448,2048,20161213160000,2016,12,13,160000
FRF_c1_snap_20161214160000_EBG.jpg,"(2448, 2048)",2448,2048,20161214160000,2016,12,14,160000
FRF_c1_snap_20170101_EBG.jpg,"(1000, 837)",1000,837,20170101,2017,1,1,0
FRF_c1_snap_20170111160000_EBG.jpg,"(2448, 2048)",2448,2048,20170111160000,2017,1,11,160000
FRF_c1_snap_20170201_EBG.jpg,"(1000, 837)",1000,837,20170201,2017,2,1,0
FRF_c1_snap_20170301_EBG.jpg,"(1000, 837)",1000,837,20170301,2017,3,1,0
FRF_c1_snap_20170315160000_EBG.jpg,"(2448, 2048)",2448,2048,20170315160000,2017,3,15,160000
FRF_c1_snap_20170401_EBG.jpg,"(1000, 837)",1000,837,20170401,2017,4,1,0
FRF_c1_snap_20170501_EBG.jpg,"(1000, 837)",1000,837,20170501,2017,5,1,0
FRF_c1_snap_20170601_EBG.jpg,"(1000, 837)",1000,837,20170601,2017,6,1,0
FRF_c1_snap_20170603160000_EBG.jpg,"(2448, 2048)",2448,2048,20170603160000,2017,6,3,160000
FRF_c1_snap_20170701_EBG.jpg,"(1000, 837)",1000,837,20170701,2017,7,1,0
FRF_c1_snap_20170801_EBG.jpg,"(1000, 837)",1000,837,20170801,2017,8,1,0
FRF_c1_snap_20170823160000_EBG.jpg,"(2448, 2048)",2448,2048,20170823160000,2017,8,23,160000
FRF_c1_snap_20170901_EBG.jpg,"(1000, 837)",1000,837,20170901,2017,9,1,0
FRF_c1_snap_20170911160000_EBG.jpg,"(2448, 2048)",2448,2048,20170911160000,2017,9,11,160000
FRF_c1_snap_20171001_EBG.jpg,"(1000, 837)",1000,837,20171001,2017,10,1,0
FRF_c1_snap_20171101_EBG.jpg,"(1000, 837)",1000,837,20171101,2017,11,1,0
FRF_c1_snap_20171201_EBG.jpg,"(1000, 837)",1000,837,20171201,2017,12,1,0
FRF_c1_snap_20180201_EBG.jpg,"(1000, 837)",1000,837,20180201,2018,2,1,0
FRF_c1_snap_20180401_EBG.jpg,"(1000, 837)",1000,837,20180401,2018,4,1,0
FRF_c1_snap_20180501_EBG.jpg,"(1000, 837)",1000,837,20180501,2018,5,1,0
FRF_c1_snap_20180601_EBG.jpg,"(1000, 837)",1000,837,20180601,2018,6,1,0
FRF_c1_snap_20180701_EBG.jpg,"(1000, 837)",1000,837,20180701,2018,7,1,0
FRF_c1_snap_20180801_EBG.jpg,"(1000, 837)",1000,837,20180801,2018,8,1,0
FRF_c1_snap_20180901_EBG.jpg,"(1000, 837)",1000,837,20180901,2018,9,1,0
FRF_c1_snap_20181001_EBG.jpg,"(1000, 837)",1000,837,20181001,2018,10,1,0
FRF_c1_snap_20181101_EBG.jpg,"(1000, 837)",1000,837,20181101,2018,11,1,0
FRF_c1_snap_20181201_EBG.jpg,"(1000, 837)",1000,837,20181201,2018,12,1,0
FRF_c1_snap_20190201_EBG.jpg,"(1000, 837)",1000,837,20190201,2019,2,1,0
FRF_c1_snap_20190401_EBG.jpg,"(1000, 837)",1000,837,20190401,2019,4,1,0
FRF_c1_snap_20190417160000_EBG.jpg,"(2448, 2048)",2448,2048,20190417160000,2019,4,17,160000
