AnnotationId,ImageFile,Capture,ShapeType,RawCx,RawCy,Zona,Cx,Cy,InvalidRectify,MetaClass,Class,ClassId,Split
1,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,32,248,Roca,380.0,128.5,False,Rock,Rock,2,train
2,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,43,248,Roca,376.5,129.0,False,Rock,Rock,2,test
3,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,51,246,Roca,376.0,133.0,False,Rock,Rock,2,train
4,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,206,237,Roca,330.0,158.5,False,Rock,Rock,2,train
5,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,216,238,Roca,325.5,156.0,False,Rock,Rock,2,train
6,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,224,238,Roca,322.5,156.5,False,Rock,Rock,2,train
7,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,197,243,Roca,330.5,143.5,False,Rock,Rock,2,train
8,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,206,244,Roca,326.5,141.5,False,Rock,Rock,2,train
9,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,215,245,Roca,323.0,139.5,False,Rock,Rock,2,train
10,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,189,245,Roca,332.0,138.5,False,Rock,Rock,2,train
11,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,123,256,Roca,347.0,116.5,False,Rock,Rock,2,train
12,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,113,261,Roca,347.0,108.5,False,Rock,Rock,2,train
13,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,106,269,Roca,345.0,98.0,False,Rock,Rock,2,train
14,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,95,275,Roca,345.0,90.5,False,Rock,Rock,2,train
15,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,98,282,Roca,341.0,83.0,False,Rock,Rock,2,train
16,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,108,284,Roca,338.0,81.0,False,Rock,Rock,2,train
17,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,113,275,Roca,340.5,90.5,False,Rock,Rock,2,train
18,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,123,267,Roca,341.5,100.5,False,Rock,Rock,2,train
19,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,132,260,Roca,342.5,110.5,False,Rock,Rock,2,train
20,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,143,259,Roca,340.0,112.0,False,Rock,Rock,2,train
21,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,136,267,Roca,338.0,100.5,False,Rock,Rock,2,train
22,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,128,273,Roca,337.5,93.0,False,Rock,Rock,2,test
23,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,121,280,Roca,336.5,85.5,False,Rock,Rock,2,test
24,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,120,286,Roca,335.0,79.5,False,Rock,Rock,2,train
25,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,128,288,Roca,332.5,77.5,False,Rock,Rock,2,train
26,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,134,280,Roca,333.5,85.5,False,Rock,Rock,2,test
27,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,143,274,Roca,333.5,92.0,False,Rock,Rock,2,train
28,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,151,266,Roca,334.5,102.0,False,Rock,Rock,2,train
29,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,159,263,Roca,333.5,106.5,False,Rock,Rock,2,train
30,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,167,263,Roca,331.0,106.5,False,Rock,Rock,2,train
31,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,157,271,Roca,331.0,96.0,False,Rock,Rock,2,train
32,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,150,274,Roca,331.5,92.0,False,Rock,Rock,2,train
33,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,146,281,Roca,330.5,84.5,False,Rock,Rock,2,train
34,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,144,286,Roca,329.5,79.5,False,Rock,Rock,2,train
35,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,156,285,Roca,327.0,80.5,False,Rock,Rock,2,train
36,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,164,278,Roca,327.0,87.5,False,Rock,Rock,2,test
37,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,172,270,Roca,327.5,97.0,False,Rock,Rock,2,train
38,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,178,264,Roca,328.0,105.5,False,Rock,Rock,2,train
39,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,185,259,Roca,327.5,113.0,False,Rock,Rock,2,train
40,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,194,261,Roca,324.0,110.0,False,Rock,Rock,2,train
41,0108_0154_18_09_04_17_30_mean_rectified.tif,0108_0154_18_09_04_17_30,point,187,266,Roca,324.5,102.5,False,Rock,Rock,2,train
